id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,color_r,color_g,color_b,opacity
0,-0.959363,-1.807510,-0.052593,0.019159,0.019159,0.019159,1.000000,0.000000,0.000000,0.000000,0.822119,0.775060,0.782903,0.095589
0,-0.795947,-1.807290,0.001722,0.015467,0.015467,0.015467,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.947609,0.095589
0,-0.850240,-1.732980,-0.002331,0.008861,0.008861,0.008861,1.000000,0.000000,0.000000,0.000000,0.801410,0.730822,0.743688,0.095589
0,0.241233,-1.964180,0.481667,0.010554,0.010554,0.010554,1.000000,0.000000,0.000000,0.000000,0.853491,0.798590,0.916237,0.095589
0,0.266982,-1.964260,0.479582,0.006483,0.006483,0.006483,1.000000,0.000000,0.000000,0.000000,0.947609,0.924080,1.000000,0.095589
0,0.267016,-1.963840,0.477978,0.006342,0.006342,0.006342,1.000000,0.000000,0.000000,0.000000,0.947609,0.924080,1.000000,0.095589
0,0.286070,-1.930640,0.469559,0.008437,0.008437,0.008437,1.000000,0.000000,0.000000,0.000000,0.775060,0.770038,0.822119,0.095589
0,0.286070,-1.930640,0.469559,0.008437,0.008437,0.008437,1.000000,0.000000,0.000000,0.000000,0.775060,0.770038,0.822119,0.095589
0,0.346720,-1.932010,0.468891,0.009246,0.009246,0.009246,1.000000,0.000000,0.000000,0.000000,0.926901,0.856312,1.000000,0.095589
0,-1.879490,-1.913580,0.556321,0.008734,0.008734,0.008734,1.000000,0.000000,0.000000,0.000000,1.000000,0.892707,1.000000,0.095589
0,-1.884490,-1.905780,0.559379,0.011230,0.011230,0.011230,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-1.734490,-1.923720,0.640480,0.041909,0.041909,0.041909,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-1.037840,-1.669480,-0.029259,0.011006,0.011006,0.011006,1.000000,0.000000,0.000000,0.000000,0.688786,0.641727,0.657413,0.095589
0,-1.040330,-1.661990,-0.032247,0.009806,0.009806,0.009806,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.939766,0.095589
0,-0.939732,-1.661150,-0.035921,0.007485,0.007485,0.007485,1.000000,0.000000,0.000000,0.000000,0.824940,0.644548,0.691607,0.095589
0,-0.939732,-1.661150,-0.035921,0.007485,0.007485,0.007485,1.000000,0.000000,0.000000,0.000000,0.824940,0.644548,0.691607,0.095589
0,-0.690056,-1.680600,-0.041405,0.008049,0.008049,0.008049,1.000000,0.000000,0.000000,0.000000,0.892707,0.704472,0.743688,0.095589
0,-0.557929,-1.695510,-0.041534,0.012294,0.012294,0.012294,1.000000,0.000000,0.000000,0.000000,1.000000,0.877021,0.853491,0.095589
0,-1.144670,-1.595070,-0.046268,0.009136,0.009136,0.009136,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.971139,0.095589
0,-1.140710,-1.584530,-0.051789,0.010903,0.010903,0.010903,1.000000,0.000000,0.000000,0.000000,0.751531,0.657413,0.673099,0.095589
0,-1.096400,-1.633280,-0.035941,0.007844,0.007844,0.007844,1.000000,0.000000,0.000000,0.000000,0.822119,0.665256,0.680942,0.095589
0,-1.128410,-1.585110,-0.050828,0.008839,0.008839,0.008839,1.000000,0.000000,0.000000,0.000000,0.790746,0.610354,0.618197,0.095589
0,-0.975484,-1.632770,-0.042836,0.018399,0.018399,0.018399,1.000000,0.000000,0.000000,0.000000,0.892707,0.649570,0.633884,0.095589
0,-0.892625,-1.579020,-0.062844,0.023144,0.023144,0.023144,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.688606,-1.600650,-0.064376,0.013101,0.013101,0.013101,1.000000,0.000000,0.000000,0.000000,0.924080,0.735844,0.696629,0.095589
0,-0.688779,-1.600850,-0.063699,0.012853,0.012853,0.012853,1.000000,0.000000,0.000000,0.000000,0.924080,0.735844,0.696629,0.095589
0,-0.573328,-1.611560,-0.068240,0.024042,0.024042,0.024042,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.971139,0.095589
0,-0.551995,-1.582490,-0.077801,0.008386,0.008386,0.008386,1.000000,0.000000,0.000000,0.000000,0.829962,0.688786,0.704472,0.095589
0,-0.471501,-1.613340,-0.071455,0.018805,0.018805,0.018805,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.978982,0.095589
0,-1.229250,-1.549660,-0.059100,0.008671,0.008759,0.008671,1.000000,0.000000,0.000000,0.000000,0.728001,0.500550,0.516237,0.095589
0,-1.229480,-1.549910,-0.058084,0.008407,0.008492,0.008407,1.000000,0.000000,0.000000,0.000000,0.728001,0.500550,0.516237,0.095589
0,-1.173320,-1.531550,-0.066715,0.017035,0.017035,0.017035,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-1.103450,-1.533440,-0.068316,0.022484,0.022484,0.022484,1.000000,0.000000,0.000000,0.000000,0.759374,0.657413,0.657413,0.095589
0,-0.988839,-1.578130,-0.057987,0.021983,0.021983,0.021983,1.000000,0.000000,0.000000,0.000000,0.869178,0.704472,0.704472,0.095589
0,-0.869902,-1.545860,-0.068870,0.005881,0.005881,0.005881,1.000000,0.000000,0.000000,0.000000,0.728001,0.602511,0.578982,0.095589
0,-0.843906,-1.536130,-0.048991,0.006492,0.006492,0.006492,1.000000,0.000000,0.000000,0.000000,0.884864,0.931923,0.986825,0.095589
0,-0.843906,-1.536130,-0.048991,0.006492,0.006492,0.006492,1.000000,0.000000,0.000000,0.000000,0.884864,0.931923,0.986825,0.095589
0,-0.619996,-1.519170,-0.091663,0.022051,0.022051,0.022051,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.931923,0.095589
0,-0.571522,-1.530530,-0.092090,0.015297,0.015297,0.015297,1.000000,0.000000,0.000000,0.000000,0.963295,0.759374,0.790746,0.095589
0,-0.563662,-1.530030,-0.091487,0.013538,0.013538,0.013538,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.540005,-1.540410,-0.090857,0.016774,0.016774,0.016774,1.000000,0.000000,0.000000,0.000000,0.900550,0.680942,0.633884,0.095589
0,-0.486406,-1.539930,-0.094024,0.034702,0.034702,0.034702,1.000000,0.000000,0.000000,0.000000,0.986825,0.759374,0.696629,0.095589
0,-0.428198,-1.506690,-0.106940,0.012721,0.012721,0.012721,1.000000,0.000000,0.000000,0.000000,0.892707,0.712315,0.696629,0.095589
0,-0.415874,-1.507210,-0.109244,0.011844,0.011844,0.011844,1.000000,0.000000,0.000000,0.000000,0.837805,0.759374,0.735844,0.095589
