splat_id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,opacity,sh0_r,sh0_g,sh0_b,shN_0_r,shN_0_g,shN_0_b,shN_1_r,shN_1_g,shN_1_b,shN_2_r,shN_2_g,shN_2_b,shN_3_r,shN_3_g,shN_3_b,shN_4_r,shN_4_g,shN_4_b,shN_5_r,shN_5_g,shN_5_b,shN_6_r,shN_6_g,shN_6_b,shN_7_r,shN_7_g,shN_7_b,shN_8_r,shN_8_g,shN_8_b,shN_9_r,shN_9_g,shN_9_b,shN_10_r,shN_10_g,shN_10_b,shN_11_r,shN_11_g,shN_11_b,shN_12_r,shN_12_g,shN_12_b,shN_13_r,shN_13_g,shN_13_b,shN_14_r,shN_14_g,shN_14_b
24724,-1.21418,-0.204904,-0.880144,0.00945407,0.00945407,0.00945407,1,0,0,0,0.5,-0.771539,-0.52131,-1.38321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24725,-1.21312,-0.196896,-0.874529,0.0128774,0.0128774,0.0128774,1,0,0,0,0.5,-1.45272,-1.42491,-1.56393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24726,-1.17656,-0.216829,-0.869225,0.014944,0.014944,0.014944,1,0,0,0,0.5,-1.45272,-1.43882,-1.55003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24727,-1.15737,-0.197143,-0.845597,0.0115649,0.0115649,0.0115649,1,0,0,0,0.5,-0.78544,-0.60472,-1.56393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24728,-1.15692,-0.216753,-0.838285,0.0110953,0.0110953,0.0110953,1,0,0,0,0.5,-0.479605,-0.298884,-1.11908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24729,-1.15699,-0.203365,-0.840073,0.0111231,0.0111231,0.0111231,1,0,0,0,0.5,-0.882751,-0.590818,-1.39711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24730,-0.547359,-0.198582,-0.850324,0.0139218,0.0139218,0.0139218,1,0,0,0,0.5,-1.06347,-0.841047,-1.57783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24731,-0.521542,-0.200113,-0.847448,0.0147022,0.0147022,0.0147022,1,0,0,0,0.5,-1.272,-1.18859,-1.57783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24732,-0.47046,-0.218615,-0.857825,0.00848184,0.00848184,0.00848184,1,0,0,0,0.5,-1.38321,-1.16078,-1.70295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24733,-0.299154,-0.20941,-0.889318,0.0171052,0.0171052,0.0171052,1,0,0,0,0.5,-1.41101,-1.3276,-1.49442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
